"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2020","14,446.76","14,322.96","14,458.90","14,267.37","","1.06%"
"02/12/2020","14,295.82","14,382.14","14,407.59","14,246.36","","-0.27%"
"02/11/2020","14,334.11","14,303.62","14,392.04","14,293.79","","0.65%"
"02/10/2020","14,241.20","14,310.00","14,346.54","14,209.58","","-0.29%"
"02/07/2020","14,282.78","14,081.86","14,309.18","14,041.21","","1.60%"
"02/06/2020","14,057.43","13,995.91","14,117.18","13,993.83","","0.80%"
"02/05/2020","13,946.51","13,947.75","14,012.79","13,871.13","","0.42%"
"02/04/2020","13,888.10","13,742.73","13,952.24","13,725.86","","1.08%"
"02/03/2020","13,739.50","13,793.13","13,884.19","13,711.01","","0.04%"
"02/01/2020","13,734.31","13,950.43","14,051.46","13,684.64","","-1.60%"
"01/31/2020","13,957.01","14,153.66","14,171.13","13,941.08","","-0.95%"
"01/30/2020","14,090.86","14,295.58","14,315.61","14,063.80","","-1.40%"
"01/29/2020","14,290.43","14,291.08","14,381.30","14,244.23","","0.10%"
"01/28/2020","14,276.25","14,354.54","14,414.14","14,255.23","","-0.24%"
"01/27/2020","14,310.13","14,112.05","14,377.36","14,058.72","","1.43%"
"01/24/2020","14,108.82","14,102.82","14,173.91","14,087.58","","0.02%"
"01/23/2020","14,105.75","13,996.19","14,122.45","13,967.13","","0.73%"
"01/22/2020","14,003.34","14,036.61","14,155.39","13,992.57","","-0.02%"
"01/21/2020","14,005.45","13,997.37","14,065.91","13,941.66","","-0.02%"
"01/20/2020","14,008.11","14,087.15","14,116.85","13,984.29","","-0.31%"
"01/17/2020","14,051.24","13,888.94","14,089.27","13,876.98","","1.26%"
"01/16/2020","13,875.84","13,812.95","13,898.81","13,805.21","","0.64%"
"01/15/2020","13,788.07","13,727.29","13,802.54","13,670.65","","0.61%"
"01/14/2020","13,704.75","13,663.28","13,731.10","13,657.08","","0.51%"
"01/13/2020","13,635.53","13,606.41","13,704.50","13,598.94","","0.42%"
"01/10/2020","13,579.10","13,540.46","13,704.00","13,540.22","","0.34%"
"01/09/2020","13,533.00","13,482.85","13,590.93","13,482.85","","0.73%"
"01/08/2020","13,435.08","13,448.97","13,463.30","13,335.06","","-0.12%"
"01/07/2020","13,451.21","13,409.65","13,542.60","13,389.32","","0.59%"
"01/06/2020","13,372.05","13,576.31","13,576.31","13,316.31","","-1.54%"
"01/03/2020","13,581.73","13,524.09","13,679.79","13,485.83","","0.46%"
"01/02/2020","13,519.85","13,465.93","13,560.69","13,464.05","","0.41%"
"01/01/2020","13,464.43","13,429.02","13,481.75","13,423.95","","0.26%"
"12/31/2019","13,429.11","13,463.64","13,513.92","13,408.32","","-0.21%"
"12/30/2019","13,457.16","13,465.34","13,510.86","13,439.67","","0.30%"
"12/27/2019","13,416.30","13,316.10","13,431.80","13,314.66","","0.73%"
"12/26/2019","13,318.87","13,428.36","13,432.11","13,304.44","","-0.58%"
"12/24/2019","13,396.89","13,402.73","13,413.61","13,347.64","","0.07%"
"12/23/2019","13,387.82","13,398.03","13,439.95","13,351.08","","-0.07%"
"12/20/2019","13,397.66","13,452.48","13,479.48","13,379.96","","-0.42%"
"12/19/2019","13,454.71","13,462.99","13,498.21","13,398.40","","0.06%"
"12/18/2019","13,446.15","13,379.74","13,456.27","13,364.71","","0.69%"
"12/17/2019","13,354.56","13,394.30","13,426.94","13,322.56","","-0.19%"
"12/16/2019","13,379.81","13,358.00","13,470.91","13,337.54","","0.03%"
"12/13/2019","13,376.12","13,374.88","13,394.34","13,275.87","","0.06%"
"12/12/2019","13,368.35","13,291.89","13,421.21","13,291.89","","0.67%"
"12/11/2019","13,278.74","13,287.57","13,292.98","13,205.88","","0.44%"
"12/10/2019","13,220.16","13,353.05","13,378.73","13,207.56","","-0.77%"
"12/09/2019","13,322.34","13,408.81","13,434.04","13,302.11","","-0.20%"
"12/06/2019","13,348.71","13,516.10","13,604.36","13,329.89","","-0.92%"
"12/05/2019","13,472.34","13,607.32","13,612.63","13,454.51","","-0.65%"
