"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2015","5,899.01","5,775.95","5,934.85","5,698.47","13.08K","2.44%"
"01/08/2015","5,758.64","5,763.55","5,774.52","5,715.03","7.72K","0.97%"
"01/07/2015","5,703.51","5,730.84","5,759.01","5,687.82","6.87K","-0.36%"
"01/06/2015","5,724.20","5,853.70","5,855.87","5,698.59","13.59K","-2.39%"
"01/05/2015","5,864.26","5,942.42","5,962.75","5,837.57","8.54K","-1.07%"
"01/02/2015","5,927.61","5,867.85","5,943.06","5,867.85","7.53K","0.98%"
"01/01/2015","5,869.92","5,847.22","5,874.62","5,827.60","6.86K","0.48%"
"12/31/2014","5,841.82","5,790.55","5,855.93","5,785.89","4.92K","0.68%"
"12/30/2014","5,802.10","5,798.82","5,823.09","5,785.28","3.59K","0.23%"
"12/29/2014","5,788.95","5,767.24","5,819.48","5,767.19","4.24K","0.46%"
"12/26/2014","5,762.49","5,737.47","5,770.73","5,710.42","4.99K","0.66%"
"12/24/2014","5,724.60","5,793.57","5,805.08","5,705.40","8.26K","-1.07%"
"12/23/2014","5,786.64","5,829.22","5,857.81","5,773.61","4.76K","-0.62%"
"12/22/2014","5,822.56","5,824.23","5,835.29","5,771.42","5.52K","0.24%"
"12/19/2014","5,808.76","5,763.22","5,823.24","5,763.22","8.67K","1.39%"
"12/18/2014","5,729.31","5,680.38","5,734.04","5,674.15","5.81K","1.26%"
"12/17/2014","5,657.82","5,667.10","5,699.80","5,577.15","9.52K","-0.31%"
"12/16/2014","5,675.22","5,590.81","5,715.23","5,590.23","10.99K","1.12%"
"12/15/2014","5,612.09","5,620.96","5,643.31","5,582.62","8.21K","-1.46%"
"12/12/2014","5,695.14","5,750.95","5,795.23","5,679.03","10.26K","-0.60%"
"12/11/2014","5,729.28","5,785.94","5,801.54","5,720.89","11.53K","-1.05%"
"12/10/2014","5,790.23","5,798.42","5,831.28","5,780.83","7.59K","-0.09%"
"12/09/2014","5,795.55","5,858.76","5,886.72","5,789.77","9.94K","-0.72%"
"12/08/2014","5,837.64","5,944.40","5,950.84","5,827.36","15.43K","-2.58%"
"12/05/2014","5,992.13","6,090.31","6,100.05","5,978.75","12.65K","-1.47%"
"12/04/2014","6,081.67","6,140.93","6,168.22","6,076.45","16.38K","-0.62%"
"12/03/2014","6,119.42","6,116.66","6,140.48","6,083.40","15.15K","-0.16%"
"12/02/2014","6,129.02","6,169.44","6,176.99","6,119.43","8.40K","-0.93%"
"12/01/2014","6,186.85","6,172.89","6,211.31","6,158.29","6.63K","0.46%"
"11/28/2014","6,158.65","6,187.76","6,210.50","6,145.19","6.70K","-0.18%"
"11/27/2014","6,169.79","6,138.72","6,184.83","6,127.12","6.24K","0.73%"
"11/26/2014","6,125.31","6,145.56","6,153.33","6,107.99","7.08K","-0.41%"
"11/25/2014","6,150.50","6,182.58","6,216.56","6,103.63","8.83K","-0.14%"
"11/24/2014","6,159.23","6,107.15","6,165.61","6,102.86","9.30K","1.40%"
"11/21/2014","6,074.48","6,104.31","6,104.31","6,051.33","12.04K","-0.46%"
"11/20/2014","6,102.76","6,072.38","6,110.69","6,047.96","6.97K","0.81%"
"11/19/2014","6,053.76","6,058.44","6,066.55","6,015.61","9.29K","0.12%"
"11/18/2014","6,046.71","6,057.06","6,079.71","6,038.65","13.04K","-0.15%"
"11/17/2014","6,055.60","6,020.49","6,065.29","6,001.59","8.85K","0.45%"
"11/14/2014","6,028.62","6,018.16","6,048.45","6,018.08","7.54K","0.20%"
"11/13/2014","6,016.50","5,977.77","6,032.40","5,947.81","9.92K","0.74%"
"11/12/2014","5,972.48","5,975.34","6,014.00","5,964.97","7.51K","-0.08%"
"11/11/2014","5,977.19","6,007.31","6,013.90","5,961.99","10.81K","-0.30%"
"11/10/2014","5,994.99","6,009.69","6,019.55","5,958.87","7.43K","-0.09%"
"11/07/2014","6,000.54","5,973.90","6,005.65","5,944.52","11.74K","0.49%"
"11/05/2014","5,971.42","5,967.14","5,999.26","5,938.65","11.17K","0.30%"
"11/03/2014","5,953.80","5,988.11","6,001.56","5,933.07","8.93K","0.27%"
"10/31/2014","5,937.65","5,876.81","5,953.74","5,876.81","7.65K","1.47%"
"10/30/2014","5,851.59","5,772.56","5,871.32","5,769.98","7.18K","1.77%"
"10/29/2014","5,749.76","5,682.46","5,759.79","5,682.46","13.71K","1.31%"
"10/28/2014","5,675.59","5,669.01","5,684.35","5,657.72","6.81K","0.07%"
"10/27/2014","5,671.73","5,753.50","5,754.88","5,664.15","5.03K","-0.79%"
"10/23/2014","5,716.94","5,713.92","5,727.71","5,704.30","1.94K","0.17%"
"10/22/2014","5,707.44","5,728.40","5,737.17","5,699.63","9.23K","0.64%"
"10/21/2014","5,670.95","5,673.15","5,683.10","5,636.24","6.63K","0.50%"
"10/20/2014","5,642.71","5,700.13","5,720.51","5,634.40","5.63K","-0.26%"
"10/17/2014","5,657.17","5,701.85","5,715.74","5,642.81","6.77K","-2.67%"
"10/16/2014","5,812.33","5,921.55","5,947.11","5,796.97","6.57K","-1.77%"
"10/14/2014","5,917.22","5,970.96","5,976.73","5,908.09","8.00K","-0.50%"
"10/13/2014","5,946.73","5,907.71","5,964.45","5,880.06","7.44K","0.97%"
"10/10/2014","5,889.42","5,835.33","5,928.61","5,780.58","12.14K","1.17%"
"10/09/2014","5,821.05","5,826.53","5,866.55","5,805.80","9.41K","0.53%"
"10/08/2014","5,790.33","5,941.26","5,952.98","5,765.82","10.38K","-2.83%"
"10/07/2014","5,959.07","5,953.64","6,048.11","5,950.28","5.44K","-0.66%"
"10/01/2014","5,998.89","5,926.15","6,014.36","5,924.82","6.77K","1.36%"
"09/30/2014","5,918.68","5,931.66","5,937.70","5,882.72","8.04K","-0.07%"
"09/29/2014","5,923.10","5,853.70","5,938.09","5,830.01","7.59K","1.50%"
"09/26/2014","5,835.75","5,875.80","5,887.88","5,807.13","8.63K","-0.55%"
"09/25/2014","5,868.26","5,825.76","5,886.51","5,825.76","10.97K","0.94%"
"09/24/2014","5,813.70","5,846.64","5,855.50","5,792.50","9.41K","-0.35%"
"09/23/2014","5,833.94","5,893.61","5,950.35","5,823.03","11.14K","-0.98%"
"09/22/2014","5,891.58","5,908.78","5,913.16","5,858.60","9.86K","-0.39%"
