"Date","Price","Open","High","Low","Vol.","Change %"
"04/10/2013","2,155.55","2,149.30","2,157.85","2,127.60","","0.62%"
"04/09/2013","2,142.20","2,171.50","2,177.40","2,139.10","","-0.98%"
"04/08/2013","2,163.30","2,149.75","2,164.90","2,149.65","","0.73%"
"04/05/2013","2,147.65","2,143.55","2,159.90","2,139.30","","0.01%"
"04/04/2013","2,147.35","2,164.15","2,176.05","2,143.50","","-1.28%"
"04/03/2013","2,175.20","2,195.95","2,202.45","2,170.45","","-1.08%"
"04/02/2013","2,198.95","2,192.80","2,201.15","2,182.85","","0.13%"
"04/01/2013","2,196.15","2,186.30","2,199.60","2,180.70","","0.36%"
"03/28/2013","2,188.20","2,180.25","2,193.35","2,157.10","","0.29%"
"03/26/2013","2,181.95","2,168.35","2,183.90","2,163.20","","0.45%"
"03/25/2013","2,172.25","2,193.75","2,202.60","2,167.60","","-0.51%"
"03/22/2013","2,183.40","2,186.50","2,199.00","2,176.70","","0.06%"
"03/21/2013","2,182.10","2,202.10","2,217.10","2,176.20","","-0.70%"
"03/20/2013","2,197.55","2,209.00","2,225.55","2,188.45","","-0.76%"
"03/19/2013","2,214.30","2,257.50","2,260.85","2,209.60","","-1.58%"
"03/18/2013","2,249.85","2,246.25","2,254.75","2,242.50","","-0.39%"
"03/15/2013","2,258.55","2,255.60","2,273.50","2,252.50","","0.20%"
"03/14/2013","2,254.15","2,238.85","2,256.75","2,222.60","","0.57%"
"03/13/2013","2,241.30","2,251.00","2,254.95","2,239.25","","-0.68%"
"03/12/2013","2,256.55","2,266.35","2,272.00","2,251.45","","-0.48%"
"03/11/2013","2,267.50","2,268.15","2,276.60","2,265.10","","0.06%"
"03/08/2013","2,266.10","2,243.40","2,267.55","2,243.40","","1.30%"
"03/07/2013","2,236.95","2,216.90","2,241.00","2,216.75","","0.68%"
"03/06/2013","2,221.85","2,237.00","2,240.60","2,220.15","","-0.48%"
"03/05/2013","2,232.65","2,209.00","2,234.75","2,208.80","","1.11%"
"03/04/2013","2,208.10","2,219.75","2,221.65","2,192.20","","-0.75%"
"03/01/2013","2,224.80","2,198.45","2,231.90","2,198.45","","1.37%"
"02/28/2013","2,194.65","2,232.15","2,243.35","2,187.55","","-1.27%"
"02/27/2013","2,222.90","2,207.95","2,233.90","2,201.75","","0.99%"
"02/26/2013","2,201.00","2,226.30","2,239.15","2,196.05","","-1.25%"
"02/25/2013","2,228.90","2,234.25","2,238.35","2,215.85","","-0.13%"
"02/22/2013","2,231.80","2,228.00","2,241.95","2,217.65","","0.09%"
"02/21/2013","2,229.80","2,255.65","2,255.65","2,227.25","","-1.42%"
"02/20/2013","2,261.90","2,272.70","2,276.05","2,259.10","","-0.25%"
"02/19/2013","2,267.50","2,255.20","2,270.15","2,249.45","","0.57%"
"02/18/2013","2,254.60","2,253.30","2,260.00","2,249.00","","0.00%"
"02/15/2013","2,254.65","2,246.05","2,261.50","2,240.40","","0.16%"
"02/14/2013","2,251.10","2,263.30","2,264.20","2,240.45","","-0.55%"
"02/13/2013","2,263.60","2,287.60","2,292.40","2,261.35","","-0.96%"
"02/12/2013","2,285.60","2,273.45","2,287.05","2,268.95","","0.38%"
"02/11/2013","2,277.05","2,285.70","2,286.50","2,270.75","","-0.23%"
"02/08/2013","2,282.40","2,300.80","2,308.70","2,275.85","","-0.79%"
"02/07/2013","2,300.50","2,314.50","2,318.35","2,298.30","","-0.83%"
"02/06/2013","2,319.65","2,320.00","2,329.55","2,314.95","","0.27%"
"02/05/2013","2,313.50","2,315.75","2,320.25","2,308.25","","-0.51%"
"02/04/2013","2,325.25","2,330.25","2,339.65","2,321.25","","0.01%"
"02/01/2013","2,325.10","2,319.20","2,333.85","2,317.85","","0.24%"
"01/31/2013","2,319.45","2,318.00","2,328.50","2,313.10","","0.01%"
"01/30/2013","2,319.25","2,329.05","2,335.45","2,312.80","","-0.11%"
"01/29/2013","2,321.85","2,334.70","2,344.55","2,318.75","","-0.66%"
"01/28/2013","2,337.35","2,336.50","2,346.30","2,332.45","","0.09%"
"01/25/2013","2,335.35","2,305.80","2,337.25","2,305.80","","1.27%"
"01/24/2013","2,306.00","2,331.55","2,335.25","2,302.15","","-1.12%"
"01/23/2013","2,332.20","2,314.70","2,336.90","2,314.70","","0.37%"
"01/22/2013","2,323.65","2,339.25","2,349.40","2,317.35","","-0.64%"
"01/21/2013","2,338.65","2,323.40","2,340.65","2,320.65","","0.74%"
"01/18/2013","2,321.55","2,327.65","2,331.85","2,314.65","","-0.27%"
"01/17/2013","2,327.85","2,320.80","2,337.55","2,318.10","","0.15%"
"01/16/2013","2,324.40","2,357.25","2,359.25","2,321.20","","-1.41%"
"01/15/2013","2,357.60","2,344.85","2,363.15","2,340.50","","0.59%"
"01/14/2013","2,343.85","2,333.70","2,345.75","2,324.00","","0.51%"
"01/11/2013","2,332.00","2,366.85","2,368.05","2,327.05","","-1.45%"
"01/10/2013","2,366.30","2,374.25","2,381.20","2,360.05","","-0.18%"
"01/09/2013","2,370.50","2,388.55","2,394.55","2,368.55","","-0.67%"
"01/08/2013","2,386.60","2,380.60","2,389.25","2,376.05","","0.29%"
"01/07/2013","2,379.65","2,390.65","2,397.85","2,375.05","","-0.21%"
"01/04/2013","2,384.55","2,385.40","2,386.25","2,373.85","","-0.03%"
"01/03/2013","2,385.25","2,388.05","2,391.55","2,376.40","","0.18%"
"01/02/2013","2,380.85","2,376.40","2,385.85","2,376.40","","0.45%"
"01/01/2013","2,370.20","2,356.90","2,372.50","2,356.90","","0.85%"
"12/31/2012","2,350.15","2,345.00","2,354.50","2,342.05","","0.20%"
"12/28/2012","2,345.40","2,338.55","2,353.05","2,335.90","","0.37%"
"12/27/2012","2,336.75","2,357.80","2,363.30","2,333.95","","-0.64%"
"12/26/2012","2,351.90","2,333.20","2,354.70","2,333.20","","0.79%"
"12/24/2012","2,333.55","2,329.30","2,339.80","2,329.05","","0.31%"
"12/21/2012","2,326.25","2,349.80","2,349.80","2,322.80","","-1.31%"
"12/20/2012","2,357.15","2,348.90","2,360.85","2,340.45","","0.28%"
"12/19/2012","2,350.65","2,337.70","2,352.00","2,337.70","","0.76%"
"12/18/2012","2,333.00","2,315.20","2,336.45","2,312.25","","0.93%"
"12/17/2012","2,311.60","2,310.15","2,320.95","2,308.80","","-0.20%"
"12/14/2012","2,316.15","2,319.10","2,326.00","2,306.50","","-0.15%"
"12/13/2012","2,319.70","2,338.75","2,346.45","2,315.45","","-0.76%"
"12/12/2012","2,337.55","2,334.55","2,340.95","2,330.15","","0.39%"
"12/11/2012","2,328.50","2,326.00","2,339.55","2,312.85","","0.14%"
"12/10/2012","2,325.35","2,329.80","2,335.70","2,320.95","","-0.11%"
"12/07/2012","2,327.95","2,335.75","2,348.35","2,321.80","","-0.26%"
"12/06/2012","2,334.10","2,335.85","2,341.50","2,311.65","","0.19%"
"12/05/2012","2,329.75","2,343.05","2,351.55","2,326.85","","-0.47%"
"12/04/2012","2,340.65","2,324.05","2,343.45","2,321.20","","0.64%"
"12/03/2012","2,325.75","2,324.15","2,332.80","2,317.60","","0.16%"
"11/30/2012","2,322.00","2,319.90","2,326.25","2,304.30","","0.19%"
"11/29/2012","2,317.70","2,293.15","2,323.05","2,292.70","","1.09%"
"11/27/2012","2,292.70","2,253.65","2,293.55","2,253.65","","1.94%"
"11/26/2012","2,249.15","2,232.05","2,256.80","2,232.05","","1.02%"
"11/23/2012","2,226.35","2,217.20","2,228.95","2,209.75","","0.58%"
"11/22/2012","2,213.60","2,209.45","2,219.50","2,203.55","","0.35%"
"11/21/2012","2,205.90","2,192.80","2,207.85","2,187.35","","0.63%"
"11/20/2012","2,192.10","2,195.80","2,202.95","2,181.45","","0.12%"
"11/19/2012","2,189.55","2,184.45","2,198.00","2,181.25","","0.38%"
"11/16/2012","2,181.30","2,203.25","2,215.00","2,175.10","","-0.97%"
"11/15/2012","2,202.70","2,197.15","2,208.95","2,192.15","","0.13%"
"11/13/2012","2,199.95","2,193.55","2,203.35","2,191.25","","0.40%"
"11/12/2012","2,191.20","2,172.55","2,194.00","2,172.55","","1.00%"
"11/09/2012","2,169.40","2,179.65","2,194.50","2,166.75","","-0.56%"
"11/08/2012","2,181.60","2,165.00","2,184.90","2,157.75","","0.19%"
"11/07/2012","2,177.40","2,161.95","2,182.50","2,161.95","","0.57%"
"11/06/2012","2,165.00","2,155.75","2,167.75","2,155.75","","0.23%"
"11/05/2012","2,160.00","2,156.75","2,163.50","2,148.05","","0.15%"
"11/02/2012","2,156.80","2,153.65","2,166.65","2,153.65","","0.63%"
"11/01/2012","2,143.35","2,119.15","2,144.80","2,117.45","","1.09%"
"10/31/2012","2,120.30","2,105.00","2,123.15","2,105.00","","0.70%"
"10/30/2012","2,105.50","2,113.50","2,121.15","2,097.15","","-0.43%"
"10/29/2012","2,114.65","2,114.05","2,124.90","2,101.50","","0.12%"
"10/26/2012","2,112.15","2,122.35","2,130.30","2,104.00","","-0.60%"
"10/25/2012","2,124.80","2,120.15","2,130.80","2,115.25","","0.17%"
"10/23/2012","2,121.10","2,131.10","2,131.10","2,118.55","","-0.53%"
"10/22/2012","2,132.45","2,122.10","2,133.80","2,112.00","","0.36%"
"10/19/2012","2,124.80","2,127.40","2,127.65","2,114.65","","-0.30%"
"10/18/2012","2,131.20","2,121.25","2,132.20","2,115.30","","0.58%"
"10/17/2012","2,118.95","2,115.85","2,121.40","2,108.75","","0.47%"
"10/16/2012","2,109.00","2,109.15","2,125.60","2,100.20","","-0.10%"
"10/15/2012","2,111.15","2,108.70","2,114.95","2,100.80","","0.06%"
"10/12/2012","2,109.80","2,110.15","2,126.25","2,106.20","","-0.12%"
"10/11/2012","2,112.35","2,099.30","2,116.35","2,086.25","","0.71%"
"10/10/2012","2,097.55","2,109.65","2,115.65","2,095.20","","-0.89%"
"10/09/2012","2,116.45","2,111.00","2,123.45","2,107.00","","0.36%"
